# Data taken from the book
#   Grant, PR, Grant, BR (2014) 40 years of evolution:
#   Darwin's finches on Daphne Major Island.
#   Princeton: Princeton University Press.
#
# Accessed throug the Dryad data package:
#   Grant PR, Grant BR(2014) Data from: 40 years of evolution.
#   Darwin's finches on Daphne Major Island. Dryad Digital Repository.
#   http://dx.doi.org/10.5061/dryad.g6g3h
#
# The data appear as in the original file
#        Fig. 10-03 data, 87.csv
#
band,species,"Beak length, mm","Beak depth, mm"
14937,fortis,11.36,9.53
15131,fortis,11.86,9.53
15616,fortis,12.16,9.53
15840,fortis,10.85,9.55
14893,fortis,11,9.55
14958,fortis,11.29,9.56
14676,fortis,11,9.57
14839,fortis,11.94,9.57
15370,fortis,12.25,9.57
5335,fortis,11.96,9.59
10751,fortis,10,9.6
14713,fortis,10.4,9.6
14615,fortis,10.7,9.6
14825,fortis,10.7,9.6
14040,fortis,10.8,9.6
16117,fortis,10.8,9.6
13075,fortis,10.85,9.6
15339,fortis,10.9,9.6
2847,fortis,11,9.6
14916,fortis,11.1,9.6
15390,fortis,11.15,9.6
4843,fortis,11.17,9.6
14492,fortis,11.2,9.6
5560,fortis,11.3,9.6
14678,fortis,11.5,9.6
14866,fortis,11.7,9.6
15612,fortis,11.9,9.6
15158,fortis,12.1,9.6
14793,fortis,9.14,9.61
10194,fortis,11.02,9.61
15949,fortis,11.04,9.61
15475,fortis,11.24,9.61
15722,fortis,11.24,9.61
15210,fortis,11.44,9.61
15839,fortis,11.44,9.61
15908,fortis,11.44,9.61
15049,fortis,11.54,9.61
15764,fortis,11.54,9.61
15667,fortis,10.84,9.62
15004,fortis,10.5,9.63
15293,fortis,10.86,9.63
14774,fortis,11.06,9.63
14842,fortis,11.15,9.63
15969,fortis,11.26,9.63
14790,fortis,11.36,9.63
14887,fortis,12.16,9.63
14677,fortis,11.6,9.65
14710,fortis,11.65,9.65
4378,fortis,10.64,9.66
5586,fortis,10.2,9.67
15197,fortis,11.04,9.67
10550,fortis,11.88,9.69
14917,fortis,10.3,9.7
14816,fortis,10.7,9.7
4899,fortis,10.87,9.7
4911,fortis,11,9.7
15196,fortis,11,9.7
15607,fortis,11,9.7
16173,fortis,11.13,9.7
14751,fortis,11.2,9.7
15113,fortis,11.2,9.7
14688,fortis,11.3,9.7
13807,fortis,11.4,9.7
15001,fortis,11.4,9.7
15239,fortis,11.04,9.71
15212,fortis,11.14,9.71
15753,fortis,11.14,9.71
10228,fortis,11.24,9.71
15644,fortis,11.24,9.71
14609,fortis,11.29,9.71
15655,fortis,10.34,9.72
14617,fortis,11.14,9.72
13837,fortis,11.58,9.72
15172,fortis,11.84,9.72
14670,fortis,12.44,9.72
14736,fortis,10.96,9.73
15012,fortis,11.46,9.73
14807,fortis,11.67,9.73
13945,fortis,10.43,9.74
14412,fortis,10.73,9.74
3569,fortis,10.94,9.74
15857,fortis,11.94,9.76
15478,fortis,11.1,9.77
15930,fortis,12.05,9.77
14739,fortis,10.81,9.78
14633,fortis,11.29,9.78
14674,fortis,10.5,9.8
13201,fortis,10.7,9.8
5026,fortis,10.9,9.8
15193,fortis,10.9,9.8
14746,fortis,11,9.8
14963,fortis,11,9.8
14971,fortis,11,9.8
15385,fortis,11.1,9.8
15015,fortis,11.2,9.8
5505,fortis,11.4,9.8
15621,fortis,11.6,9.8
14987,fortis,11.7,9.8
14820,fortis,11.8,9.8
14889,fortis,11.8,9.8
5504,fortis,11.9,9.8
15302,fortis,12.3,9.8
14942,fortis,11.19,9.81
14856,fortis,11.24,9.81
14849,fortis,11.34,9.81
15203,fortis,11.49,9.81
15670,fortis,11.64,9.81
15371,fortis,11.74,9.81
15856,fortis,11.74,9.81
15377,fortis,10.94,9.82
15979,fortis,11.04,9.82
14796,fortis,11.15,9.82
15145,fortis,11.3,9.82
15058,fortis,10.96,9.83
15692,fortis,11.16,9.83
15033,fortis,11.26,9.83
15255,fortis,12.1,9.83
14620,fortis,10.7,9.85
13781,fortis,12.3,9.85
5625,fortis,10.94,9.86
14783,fortis,11.39,9.86
15053,fortis,12.01,9.86
15150,fortis,10.94,9.87
5921,fortis,11.2,9.87
15358,fortis,11.34,9.87
15383,fortis,11.7,9.87
14886,fortis,11.86,9.88
5570,fortis,10.8,9.9
13975,fortis,11,9.9
14930,fortis,11.2,9.9
15433,fortis,11.3,9.9
5400,fortis,11.5,9.9
15473,fortis,11.5,9.9
15124,fortis,11.7,9.9
5614,fortis,11.8,9.9
10305,fortis,11.82,9.9
15148,fortis,11.9,9.9
15849,fortis,12,9.9
15665,fortis,11.14,9.91
14955,fortis,11.74,9.91
14721,fortis,11.84,9.91
15682,fortis,12.24,9.91
4721,fortis,10.95,9.92
14660,fortis,11.14,9.92
15355,fortis,11.84,9.92
15653,fortis,11.84,9.92
14711,fortis,12.05,9.92
15281,fortis,12.17,9.92
4190,fortis,11.04,9.93
15650,fortis,11.06,9.93
15112,fortis,11.16,9.93
14974,fortis,11.46,9.93
10080,fortis,11.1,9.95
14943,fortis,11.85,9.95
13760,fortis,10.67,9.96
14689,fortis,11.2,9.96
14117,fortis,10.6,10
15674,fortis,10.6,10
10679,fortis,10.9,10
5963,fortis,11,10
14818,fortis,11,10
15749,fortis,11,10
14781,fortis,11.1,10
13231,fortis,11.13,10
14174,fortis,11.2,10
2776,fortis,11.3,10
15140,fortis,11.3,10
14745,fortis,11.5,10
15951,fortis,11.5,10
15291,fortis,11.7,10
14752,fortis,11.9,10
14772,fortis,12,10
15603,fortis,12.8,10
15062,fortis,11.44,10.01
15003,fortis,11.94,10.01
14961,fortis,11.84,10.02
14346,fortis,11.93,10.02
15073,fortis,10.66,10.03
5860,fortis,11.55,10.05
15681,fortis,12.29,10.06
14817,fortis,11.5,10.07
14618,fortis,11.16,10.08
13300,fortis,11.06,10.09
15183,fortis,11.2,10.1
13413,fortis,11.3,10.1
15897,fortis,11.6,10.1
15249,fortis,11.7,10.1
15199,fortis,11.34,10.11
15920,fortis,11.44,10.11
15099,fortis,11.49,10.11
14865,fortis,11.74,10.11
14333,fortis,11.03,10.12
5789,fortis,11.28,10.12
15309,fortis,11.45,10.12
15317,fortis,11.84,10.12
14895,fortis,10.96,10.13
14738,fortis,11.26,10.13
14926,fortis,12.66,10.13
15448,fortis,13.96,10.13
14812,fortis,11.05,10.15
5960,fortis,11.4,10.15
15461,fortis,11.44,10.16
4677,fortis,11.02,10.17
13595,fortis,11.4,10.17
14656,fortis,11.9,10.17
14657,fortis,10.25,10.2
14992,fortis,11,10.2
14777,fortis,11.6,10.2
15304,fortis,12.3,10.2
14619,fortis,11.54,10.21
14753,fortis,11.54,10.21
14650,fortis,11.74,10.21
15315,fortis,11.74,10.21
14627,fortis,10.86,10.23
15295,fortis,11.96,10.23
10658,fortis,11.15,10.27
4946,fortis,11.42,10.27
14655,fortis,11.33,10.29
5731,fortis,10.8,10.3
5559,fortis,11,10.3
15338,fortis,11.1,10.3
10622,fortis,11.3,10.3
2984,fortis,11.4,10.3
14851,fortis,11.4,10.3
5060,fortis,11.8,10.3
14003,fortis,11.8,10.32
5844,fortis,11.83,10.32
14805,fortis,11.06,10.33
3527,fortis,11.79,10.33
14919,fortis,11.87,10.33
15830,fortis,12.27,10.33
14468,fortis,11.83,10.34
5847,fortis,11.93,10.34
2753,fortis,10.89,10.35
15471,fortis,11.6,10.35
15609,fortis,11.8,10.35
15444,fortis,12.85,10.35
15025,fortis,11.29,10.37
14873,fortis,11.6,10.4
15101,fortis,11.7,10.4
15458,fortis,11.9,10.4
15037,fortis,12,10.4
15171,fortis,12,10.4
14925,fortis,12.75,10.4
15411,fortis,12.24,10.41
14616,fortis,11.65,10.42
14922,fortis,11.76,10.43
5905,fortis,11.86,10.43
4993,fortis,11.44,10.45
14662,fortis,11,10.5
5904,fortis,11.1,10.5
10181,fortis,11.1,10.5
15702,fortis,11.7,10.5
5543,fortis,11.8,10.5
720,fortis,12.2,10.5
15413,fortis,11.54,10.51
15392,fortis,11.64,10.51
15947,fortis,11.94,10.51
15955,fortis,12.34,10.51
15021,fortis,11,10.52
14625,fortis,11.84,10.52
14651,fortis,11.84,10.52
14848,fortis,11.36,10.53
15147,fortis,11.46,10.53
15980,fortis,11.56,10.53
4876,fortis,10.34,10.55
1469,fortis,11.73,10.56
15372,fortis,12.25,10.57
5649,fortis,11.55,10.59
3393,fortis,11.7,10.6
15216,fortis,11.9,10.6
15688,fortis,11.54,10.61
5821,fortis,12.32,10.62
14870,fortis,11.95,10.67
13407,fortis,11.27,10.68
14993,fortis,12.3,10.7
14663,fortis,11.65,10.72
14991,fortis,12.4,10.72
15170,fortis,12.84,10.72
14804,fortis,11.76,10.73
1774,fortis,11.9,10.75
14149,fortis,10.9,10.8
14622,fortis,11,10.8
15948,fortis,11.6,10.8
2536,fortis,11.44,10.84
14624,fortis,11.85,10.85
2743,fortis,12.1,10.85
5370,fortis,12.73,10.88
14706,fortis,11.5,10.9
15825,fortis,11.8,10.9
10178,fortis,11.7,11
15910,fortis,11.85,11
15976,fortis,12.2,11
14550,fortis,13.65,11.02
13487,fortis,11.78,11.07
14649,fortis,11.7,11.1
4986,fortis,11.87,11.17
15651,fortis,12.8,11.2
15954,fortis,12.04,11.21
15905,fortis,11.46,11.38
14442,fortis,11.53,11.38
14408,fortis,11.23,11.49
15877,fortis,12.26,11.53
