# The data come from Markus Meister's group from Dawna Bagherian and Kyu Lee, two grad students. They put electrodes in the retinal cells of a mouse and measured voltage. From the time trace of voltage, they can detect and characterize spiking events.
t (ms),V (uV)
736.68,-2.29
736.72,-4.27
736.76,3.13
736.8,16.98
736.84,1.25
736.88,-8.33
736.92,2.5
736.96,-6.56
737.0,-13.96
737.04,12.19
737.08,-2.81
737.12,-10.94
737.16,3.96
737.2,1.88
737.24,1.25
737.28,14.38
737.32,4.27
737.36,-2.29
737.4,16.67
737.44,3.96
737.48,-6.67
737.52,11.35
737.56,13.65
737.6,-4.69
737.64,0.73
737.68,9.38
737.72,-5.94
737.76,-3.02
737.8,0.21
737.84,-8.23
737.88,-13.85
737.92,8.13
737.96,-4.17
738.0,-8.13
738.04,-3.02
738.08,-12.81
738.12,-15.83
738.16,13.23
738.2,-0.73
738.24,-8.96
738.28,0.0
738.32,-9.69
738.36,-13.65
738.4,4.58
738.44,4.38
738.48,-7.08
738.52,8.65
738.56,11.77
738.6,-1.67
738.64,3.96
738.68,11.35
738.72,-0.52
738.76,2.81
738.8,3.44
738.84,-2.29
738.88,-6.67
738.92,13.65
738.96,0.73
739.0,-5.63
739.04,5.42
739.08,-6.56
739.12,-8.96
739.16,19.9
739.2,8.75
739.24,-2.6
739.28,11.15
739.32,6.04
739.36,5.52
739.4,19.06
739.44,10.31
739.48,-1.25
739.52,2.92
739.56,-0.83
739.6,-12.92
739.64,-6.15
739.68,-6.35
739.72,-9.79
739.76,-7.08
739.8,6.88
739.84,-4.79
739.88,-10.21
739.92,-2.4
739.96,-4.9
740.0,-6.56
740.04,18.02
740.08,0.1
740.12,-10.42
740.16,-6.25
740.2,-11.04
740.24,-18.54
740.28,1.88
740.32,-5.94
740.36,-9.9
740.4,8.65
740.44,4.27
740.48,-1.56
740.52,10.0
740.56,31.98
740.6,10.42
740.64,6.04
740.68,-0.94
740.72,-10.0
740.76,-3.44
740.8,17.92
740.84,0.31
740.88,-4.9
740.92,1.88
740.96,-5.42
741.0,-6.35
741.04,18.65
741.08,1.35
741.12,-6.88
741.16,4.48
741.2,-8.54
741.24,-12.4
741.28,5.63
741.32,-3.33
741.36,-5.94
741.4,7.81
741.44,1.56
741.48,-6.25
741.52,9.69
741.56,16.77
741.6,5.0
741.64,9.17
741.68,10.94
741.72,-5.0
741.76,0.21
741.8,5.73
741.84,-10.94
741.88,-8.02
741.92,20.94
741.96,7.5
742.0,-3.44
742.04,-0.52
742.08,-9.58
742.12,-13.13
742.16,18.33
742.2,7.4
742.24,-3.44
742.28,0.94
742.32,-8.23
742.36,-13.44
742.4,5.42
742.44,4.48
742.48,-5.1
742.52,8.44
742.56,9.69
742.6,-2.6
742.64,7.08
742.68,18.85
742.72,-0.21
742.76,-6.35
742.8,-1.25
742.84,-9.69
742.88,-6.67
742.92,16.88
742.96,0.94
743.0,-6.56
743.04,4.27
743.08,-2.4
743.12,-12.19
743.16,6.88
743.2,-0.1
743.24,-5.52
743.28,9.48
743.32,6.15
743.36,4.69
743.4,22.6
743.44,18.44
743.48,4.06
743.52,6.67
743.56,7.4
743.6,-5.21
743.64,1.46
743.68,-4.17
743.72,-9.79
743.76,-6.67
743.8,4.79
743.84,-11.15
743.88,-8.23
743.92,-3.75
743.96,-12.6
744.0,-14.69
744.04,12.29
744.08,2.4
744.12,-0.63
744.16,16.67
744.2,6.77
744.24,-0.83
744.28,14.17
744.32,5.63
744.36,-4.17
744.4,11.88
744.44,-2.92
744.48,-11.25
744.52,-0.52
744.56,10.0
744.6,5.21
744.64,9.38
744.68,18.75
744.72,4.17
744.76,5.21
744.8,20.83
744.84,4.9
744.88,-2.71
744.92,2.5
744.96,-6.56
745.0,-8.85
745.04,19.9
745.08,2.6
745.12,-3.13
745.16,10.42
745.2,-5.73
745.24,-13.33
745.28,11.25
745.32,-1.25
745.36,-10.73
745.4,6.25
745.44,-4.79
745.48,-9.79
745.52,6.56
745.56,16.35
745.6,2.5
745.64,9.9
745.68,16.77
745.72,-0.31
745.76,4.27
745.8,9.48
745.84,-1.15
745.88,-1.98
745.92,16.35
745.96,-2.6
746.0,-13.75
746.04,-2.19
746.08,-10.94
746.12,-10.73
746.16,17.92
746.2,8.54
746.24,0.31
746.28,7.08
746.32,-1.46
746.36,2.19
746.4,16.67
746.44,14.48
746.48,2.19
746.52,12.81
746.56,18.44
746.6,4.27
746.64,2.08
746.68,6.35
746.72,-1.98
746.76,-1.15
746.8,8.54
746.84,6.15
746.88,2.08
746.92,21.98
746.96,8.23
747.0,-1.46
747.04,13.75
747.08,4.58
747.12,2.6
747.16,25.73
747.2,11.88
747.24,1.88
747.28,14.17
747.32,4.69
747.36,4.17
747.4,20.94
747.44,14.9
747.48,1.46
747.52,5.83
747.56,7.5
747.6,2.5
747.64,11.88
747.68,6.04
747.72,-0.94
747.76,-0.52
747.8,9.48
747.84,-4.69
747.88,-11.15
747.92,-5.21
747.96,-11.04
748.0,-1.67
748.04,28.33
748.08,14.9
748.12,6.25
748.16,10.0
748.2,3.65
748.24,-2.4
748.28,16.98
748.32,9.9
748.36,0.83
748.4,7.81
748.44,3.13
748.48,2.08
748.52,15.42
748.56,27.29
748.6,14.48
748.64,12.5
748.68,18.65
748.72,3.96
748.76,4.79
748.8,19.06
748.84,4.06
748.88,3.44
748.92,9.48
748.96,3.33
749.0,-2.29
749.04,19.17
749.08,-1.04
749.12,-12.19
749.16,1.15
749.2,-1.46
749.24,-5.52
749.28,9.38
749.32,5.0
749.36,-4.27
749.4,9.69
749.44,-2.19
749.48,-7.71
749.52,6.04
749.56,10.73
749.6,2.19
749.64,8.02
749.68,16.98
749.72,-0.83
749.76,4.38
749.8,12.19
749.84,3.75
749.88,-2.08
749.92,13.54
749.96,-0.1
750.0,-5.94
750.04,4.58
750.08,0.0
750.12,-5.83
750.16,14.38
750.2,8.96
750.24,7.6
750.28,17.29
750.32,4.69
750.36,-2.92
750.4,15.63
750.44,16.67
750.48,1.25
750.52,8.33
750.56,13.65
750.6,-3.23
750.64,5.52
750.68,6.88
750.72,-2.4
750.76,2.92
750.8,22.6
750.84,3.13
750.88,3.96
750.92,29.48
750.96,7.92
751.0,1.15
751.04,6.88
751.08,-3.96
751.12,-3.75
751.16,20.1
751.2,8.33
751.24,-4.79
751.28,5.21
751.32,-1.88
751.36,-5.1
751.4,7.5
751.44,13.13
751.48,-0.1
751.52,3.96
751.56,13.23
751.6,-2.71
751.64,-3.13
751.68,-4.38
751.72,-1.56
751.76,1.35
751.8,15.73
751.84,-2.29
751.88,-2.71
751.92,8.96
751.96,3.85
752.0,-0.31
752.04,24.69
752.08,2.4
752.12,-10.94
752.16,-0.73
752.2,-7.4
752.24,-10.0
752.28,8.33
752.32,2.81
752.36,-2.71
752.4,5.21
752.44,-1.04
752.48,-4.38
752.52,0.31
752.56,1.15
752.6,-11.04
752.64,-5.0
752.68,4.27
752.72,-11.15
752.76,-3.96
752.8,13.54
752.84,0.21
752.88,-2.6
752.92,3.65
752.96,-1.67
753.0,0.21
753.04,18.96
753.08,3.44
753.12,-2.4
753.16,4.69
753.2,0.73
753.24,-2.6
753.28,13.65
753.32,8.54
753.36,-1.98
753.4,8.54
753.44,-6.88
753.48,-13.65
753.52,-3.44
753.56,2.81
753.6,-3.65
753.64,-0.52
753.68,10.63
753.72,-4.27
753.76,-7.81
753.8,-0.21
753.84,1.67
753.88,-4.79
753.92,11.98
753.96,1.35
754.0,-0.94
754.04,10.63
754.08,0.21
754.12,-5.1
754.16,22.71
754.2,8.02
754.24,-1.15
754.28,7.08
754.32,-2.92
754.36,-10.63
754.4,10.21
754.44,15.83
754.48,7.29
754.52,14.9
754.56,19.79
