# Data taken from the book
#   Grant, PR, Grant, BR (2014) 40 years of evolution:
#   Darwin's finches on Daphne Major Island.
#   Princeton: Princeton University Press.
#
# Accessed throug the Dryad data package:
#   Grant PR, Grant BR(2014) Data from: 40 years of evolution.
#   Darwin's finches on Daphne Major Island. Dryad Digital Repository.
#   http://dx.doi.org/10.5061/dryad.g6g3h
#
# The data appear as in the original file
#        Fig. 10-03 data, 91.csv
#
band,species,blength,bdepth
16093,fortis,10.5,8.4
16095,fortis,10,8.15
16096,fortis,10.6,8.8
16135,fortis,11.5,9.4
16141,fortis,11.6,10.6
16143,fortis,11.4,10.1
16144,fortis,11.3,10.4
16145,fortis,10.8,9.4
16146,fortis,11.2,10.1
16148,fortis,10.8,9.5
16149,fortis,11.5,9.8
16150,fortis,11.65,10.3
16165,fortis,9.7,8
16167,fortis,10.55,8.85
16173,fortis,11.13,9.7
16176,fortis,10.9,9.6
16184,fortis,11.05,9.25
16190,fortis,10.7,9.2
16197,fortis,10.7,9.2
16301,fortis,10.4,9.1
16306,fortis,11.3,10.2
16309,fortis,10.9,8.6
16310,fortis,11,9
16315,fortis,10.9,8.8
16316,fortis,10.8,8.1
16317,fortis,10.2,8.2
16319,fortis,10.8,9
16331,fortis,10.9,9.8
16333,fortis,10.2,9.1
16336,fortis,12.5,9.9
16337,fortis,11.3,9.2
16341,fortis,10.3,9.5
16344,fortis,9.4,8.5
16356,fortis,11.05,9.4
16360,fortis,10.7,9.4
16367,fortis,9.7,8.6
16374,fortis,10.6,9
16378,fortis,11.55,9.8
16380,fortis,11,9.2
16385,fortis,10.8,8.8
16386,fortis,9.53,8.27
16387,fortis,11.9,10.3
16391,fortis,10.6,9.2
16394,fortis,10.8,9.6
16395,fortis,11.05,9.8
16396,fortis,12.5,10.3
16398,fortis,12.1,9.8
16507,fortis,10.9,10.1
16511,fortis,10.7,9.3
16514,fortis,10.8,9.5
16518,fortis,12,10
16531,fortis,11.65,9.95
16549,fortis,10.6,9
16550,fortis,10.75,9.05
16551,fortis,11.1,9
16553,fortis,10.9,9.2
16554,fortis,10.9,10.4
16559,fortis,11.3,9.9
16560,fortis,11.6,9.6
16564,fortis,12.1,10.3
16565,fortis,12.1,10
16566,fortis,12,10.2
16575,fortis,11.6,10.5
16579,fortis,11.8,10.4
16580,fortis,11.3,9.3
